% Model,200309_CounterPump6 _temp5.mph
% Version,COMSOL 5.6.0.280
% Date,"Jul 19 2022, 10:08"
% Dimension,3
% Nodes,300
% Expressions,1
% Description,k2*(Rrel/sigm)*(productlog((sigm*I/(Rrel*k1))*exp((sigm*I/(Rrel*k1))-n*sigm*(z)))+productlog((sigm*I/(Rrel*k1))*exp((sigm*I/(Rrel*k1))+n*sigm*(z))))
% Length unit,cm
% X,Y,Z,Rop0 (1/s)
0,0,-1.5,170.57623987019107
0,0,-1.4899665551839465,169.51686738950895
0,0,-1.479933110367893,168.45796735298552
0,0,-1.4698996655518395,167.39954530578044
0,0,-1.459866220735786,166.341606904005
0,0,-1.4498327759197325,165.2841579187887
0,0,-1.439799331103679,164.227204240595
0,0,-1.4297658862876255,163.17075188380855
0,0,-1.419732441471572,162.11480699161476
0,0,-1.4096989966555185,161.0593758411951
0,0,-1.399665551839465,160.00446484926448
0,0,-1.3896321070234114,158.95008057797793
0,0,-1.379598662207358,157.8962297412384
0,0,-1.3695652173913044,156.8429192114366
0,0,-1.359531772575251,155.79015602666092
0,0,-1.3494983277591972,154.73794739841574
0,0,-1.339464882943144,153.68630071989065
0,0,-1.3294314381270902,152.63522357482742
0,0,-1.319397993311037,151.58472374703476
0,0,-1.3093645484949832,150.53480923060692
0,0,-1.2993311036789297,149.48548824090423
0,0,-1.2892976588628762,148.43676922636234
0,0,-1.2792642140468227,147.38866088120048
0,0,-1.2692307692307692,146.34117215910553
0,0,-1.2591973244147157,145.29431228797642
0,0,-1.2491638795986622,144.24809078582015
0,0,-1.2391304347826086,143.2025174778987
0,0,-1.2290969899665551,142.15760251523503
0,0,-1.2190635451505016,141.11335639459614
0,0,-1.2090301003344481,140.06978998008097
0,0,-1.1989966555183946,139.02691452645257
0,0,-1.1889632107023411,137.98474170436555
0,0,-1.1789297658862876,136.94328362765376
0,0,-1.1688963210702341,135.9025528828572
0,0,-1.1588628762541806,134.86256256118136
0,0,-1.148829431438127,133.8233262931017
0,0,-1.1387959866220736,132.7848582858406
0,0,-1.12876254180602,131.74717336396608
0,0,-1.1187290969899666,130.71028701338275
0,0,-1.108695652173913,129.67421542900513
0,0,-1.0986622073578596,128.63897556643172
0,0,-1.088628762541806,127.60458519796217
0,0,-1.0785953177257526,126.57106297332764
0,0,-1.068561872909699,125.53842848553613
0,0,-1.0585284280936453,124.50670234226523
0,0,-1.048494983277592,123.47590624326918
0,0,-1.0384615384615383,122.4460630643043
0,0,-1.028428093645485,121.41719694811388
0,0,-1.0183946488294313,120.38933340305496
0,0,-1.008361204013378,119.36249940999272
0,0,-0.9983277591973245,118.3367235381304
0,0,-0.988294314381271,117.31203607049252
0,0,-0.9782608695652175,116.28846913982291
0,0,-0.9682274247491639,115.26605687571188
0,0,-0.9581939799331104,114.24483556381365
0,0,-0.9481605351170569,113.22484381806689
0,0,-0.9381270903010034,112.20612276687861
0,0,-0.9280936454849499,111.18871625428139
0,0,-0.9180602006688963,110.1726710571166
0,0,-0.9080267558528428,109.15803711933789
0,0,-0.8979933110367893,108.14486780456342
0,0,-0.8879598662207357,107.13322016803227
0,0,-0.8779264214046822,106.12315524913565
0,0,-0.8678929765886287,105.11473838569563
0,0,-0.8578595317725753,104.1080395511503
0,0,-0.8478260869565218,103.10313371576613
0,0,-0.8377926421404682,102.10010123293905
0,0,-0.8277591973244147,101.09902825154867
0,0,-0.8177257525083612,100.10000715520142
0,0,-0.8076923076923077,99.10313702902177
0,0,-0.7976588628762542,98.10852415442139
0,0,-0.7876254180602007,97.11628253198819
0,0,-0.7775919732441472,96.12653443227543
0,0,-0.7675585284280936,95.1394109738332
0,0,-0.7575250836120401,94.15505272729135
0,0,-0.7474916387959866,93.17361034367308
0,0,-0.7374581939799331,92.19524520437295
0,0,-0.7274247491638796,91.22013008936958
0,0,-0.717391304347826,90.24844985924926
0,0,-0.7073578595317725,89.28040214548794
0,0,-0.697324414715719,88.31619804217236
0,0,-0.6872909698996655,87.35606279094078
0,0,-0.677257525083612,86.40023644939485
0,0,-0.6672240802675585,85.44897453159477
0,0,-0.657190635451505,84.50254860752636
0,0,-0.6471571906354515,83.56124684665447
0,0,-0.637123745819398,82.62537448890755
0,0,-0.6270903010033445,81.69525422473072
0,0,-0.6170568561872909,80.77122646428872
0,0,-0.6070234113712374,79.85364947458093
0,0,-0.5969899665551839,78.94289936227024
0,0,-0.5869565217391304,78.03936987953995
0,0,-0.5769230769230769,77.14347203042
0,0,-0.5668896321070234,76.2556334558925
0,0,-0.5568561872909699,75.37629757783581
0,0,-0.5468227424749164,74.50592248460399
0,0,-0.5367892976588629,73.64497954485617
0,0,-0.5267558528428093,72.79395174119333
0,0,-0.5167224080267558,71.95333172121882
0,0,-0.5066889632107023,71.12361957073888
0,0,-0.49665551839464883,70.30532032180848
0,0,-0.4866220735785953,69.49894121697001
0,0,-0.4765886287625419,68.70498876001199
0,0,-0.4665551839464883,67.92396559250294
0,0,-0.4565217391304348,67.15636724378757
0,0,-0.4464882943143813,66.40267880959311
0,0,-0.43645484949832786,65.66337162041151
0,0,-0.42642140468227435,64.9388999649634
0,0,-0.4163879598662208,64.22969793596043
0,0,-0.4063545150501673,63.53617646481672
0,0,-0.3963210702341137,62.85872060882294
0,0,-0.3862876254180603,62.19768714863812
0,0,-0.37625418060200655,61.55340254599835
0,0,-0.36622073578595304,60.92616130165099
0,0,-0.35618729096989954,60.31622474218754
0,0,-0.34615384615384603,59.7238202522437
0,0,-0.33612040133779253,59.149140956073225
0,0,-0.326086956521739,58.592345840390585
